<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURUSD;D;20170301;000000;1.0594900;1.0594900;1.0512700;1.0545800;1953109
EURUSD;D;20170302;000000;1.0545700;1.0551600;1.0493000;1.0507000;1604656
EURUSD;D;20170303;000000;1.0506700;1.0617300;1.0500000;1.0615700;1724170
EURUSD;D;20170304;000000;1.0616000;1.0623900;1.0609000;1.0618200;40389
EURUSD;D;20170305;000000;1.0614000;1.0615000;1.0600000;1.0602400;518
EURUSD;D;20170306;000000;1.0602000;1.0640200;1.0572000;1.0582400;1387005
EURUSD;D;20170307;000000;1.0582300;1.0602600;1.0556000;1.0570000;1370014
EURUSD;D;20170308;000000;1.0569900;1.0574200;1.0533000;1.0543000;1493296
EURUSD;D;20170309;000000;1.0543300;1.0615400;1.0522000;1.0582000;1794779
EURUSD;D;20170310;000000;1.0581900;1.0699100;1.0569700;1.0686600;1719206
EURUSD;D;20170311;000000;1.0686700;1.0689600;1.0667000;1.0670000;47972
EURUSD;D;20170312;000000;1.0671000;1.0688000;1.0669000;1.0675700;3741
EURUSD;D;20170313;000000;1.0675600;1.0714400;1.0649000;1.0652500;1550802
EURUSD;D;20170314;000000;1.0653000;1.0662700;1.0598000;1.0603600;1298684
EURUSD;D;20170315;000000;1.0603600;1.0740200;1.0601000;1.0733900;1471014
EURUSD;D;20170316;000000;1.0733800;1.0770300;1.0703000;1.0765500;1775846
EURUSD;D;20170317;000000;1.0764500;1.0782400;1.0725000;1.0736600;1524375
EURUSD;D;20170318;000000;1.0736000;1.0742000;1.0733800;1.0733800;69
EURUSD;D;20170319;000000;1.0736000;1.0738000;1.0727000;1.0730400;5323
EURUSD;D;20170320;000000;1.0735900;1.0777300;1.0722000;1.0739400;1245230
EURUSD;D;20170321;000000;1.0738000;1.0820000;1.0717000;1.0810000;1675103
EURUSD;D;20170322;000000;1.0809500;1.0824700;1.0773000;1.0796800;1628523
EURUSD;D;20170323;000000;1.0796100;1.0805000;1.0766000;1.0782300;1536184
EURUSD;D;20170324;000000;1.0781800;1.0818100;1.0758000;1.0797000;1479606
EURUSD;D;20170325;000000;1.0797000;1.0798000;1.0795000;1.0795000;33
EURUSD;D;20170326;000000;1.0795000;1.0846400;1.0794000;1.0836200;5823
EURUSD;D;20170327;000000;1.0836400;1.0906100;1.0824000;1.0863200;1425578
EURUSD;D;20170328;000000;1.0864200;1.0872700;1.0796000;1.0810300;1357978
EURUSD;D;20170329;000000;1.0811400;1.0826600;1.0737000;1.0764000;1479327
EURUSD;D;20170330;000000;1.0764000;1.0770000;1.0669000;1.0673700;1407530
EURUSD;D;20170331;000000;1.0674800;1.0701900;1.0649900;1.0651500;1460081
EURUSD;D;20170401;000000;1.0651000;1.0665000;1.0649800;1.0663000;165
EURUSD;D;20170402;000000;1.0658000;1.0664000;1.0656400;1.0660500;2460
EURUSD;D;20170403;000000;1.0657300;1.0681100;1.0640000;1.0668900;1264996
EURUSD;D;20170404;000000;1.0668900;1.0677300;1.0633000;1.0672900;1220393
EURUSD;D;20170405;000000;1.0671700;1.0690000;1.0633600;1.0662100;1288542
EURUSD;D;20170406;000000;1.0660600;1.0684100;1.0627000;1.0643600;1216834
